filename,status,summary
last_refreshed_at,info,2026-08-03T08:04:10Z
bronze_max_file_date,info,2026-07-31
silver_max_created_at,info,2026-07-31T13:59:15.159Z
q1_activity.csv,updated,118736 total_calls; 13436 unique_customers; 21.87% coverage
q2_scheduled.csv,updated,77 rows (schedule_date 2026-04-15 to 2026-08-03)
q3_contact.csv,updated,95872 total_calls (bronze); 11.48% contact_rate; 11.46% rpc_rate
q4_funnel.csv,updated,dialled 13436; contacted 6198; plan_post_contact 744
q5_recovery.csv,updated,total_recovered 509787.91; recovery_rate 20.83%; customers_paid_48h 128
q6_plans.csv,updated,plans_setup_post_call 744; plan_breakage_rate 37.50%
q7_best_times.csv,updated,46 rows (Europe/Rome local hours; top hour 19 Fri 23.11%)
q8_segmentation.csv,updated,5 debt bands; contact_rate 30.61% to 61.43%
q9_channel.csv,updated,dialled_customers 13436; portal_visit_rate 16.46%; inbound_response_rate 6.92%
q10_removals.csv,updated,72 rows (removal_date 2026-04-16 to 2026-08-03)
