schedule_date,scheduled_cases,total_calls,unique_customers,calls_per_scheduled_pct
2026-04-15,800,1323,800,165.4
2026-04-16,949,1538,949,162.1
2026-04-17,1000,1723,1001,172.3
2026-04-20,1000,752,735,75.2
2026-04-21,2844,0,0,0.0
2026-04-22,2761,3319,2190,120.2
2026-04-23,1438,868,861,60.4
2026-04-24,2971,2995,2940,100.8
2026-04-27,2970,820,802,27.6
2026-04-28,2981,2952,2645,99.0
2026-04-29,2938,2025,1615,68.9
2026-04-30,2535,2787,2343,109.9
2026-05-04,2463,2729,2395,110.8
2026-05-05,2428,1518,1254,62.5
2026-05-06,2822,1659,1477,58.8
2026-05-07,2740,1902,1881,69.4
2026-05-08,2920,1800,1789,61.6
2026-05-11,2564,1518,1504,59.2
2026-05-12,2490,1533,1521,61.6
2026-05-13,2648,1977,1888,74.7
2026-05-14,2749,1448,1161,52.7
2026-05-15,2716,1575,1486,58.0
2026-05-18,2431,873,871,35.9
2026-05-19,2675,0,0,0.0
2026-05-20,2687,1556,1543,57.9
2026-05-21,2678,2092,2077,78.1
2026-05-22,2707,2057,2045,76.0
2026-05-25,2282,1458,1437,63.9
2026-05-26,2693,1762,1752,65.4
2026-05-27,2829,2858,2829,101.0
2026-05-28,2476,0,0,0.0
